Size,Floor,TotalFloors,CentralHeating,District,Year,Type,BuildingType,Price
1000,12,13,Лок.отопл.,"град София, Манастирски ливади",2012,МЕЗОНЕТ,Тухла,1250000
916,6,6,,"град София, Гоце Делчев",2014,МНОГОСТАЕН,Тухла,520000
916,6,6,,"град София, Гоце Делчев",2014,4-СТАЕН,Тухла,520000
840,3,4,НЕ,"град София, Лозенец",2013,МНОГОСТАЕН,Тухла,3200000
700,7,8,ДА,"град София, Хладилника",2013,МНОГОСТАЕН,Тухла,750000
700,7,8,ДА,"град София, Лозенец",2013,МНОГОСТАЕН,Тухла,750000
674,8,9,ДА,"град София, Лозенец",2002,МЕЗОНЕТ,Тухла,950000
640,5,7,НЕ,"град София, Малинова долина",2009,МЕЗОНЕТ,Тухла,228000
627,7,9,Лок.отопл.,"град София, Иван Вазов",2020,МЕЗОНЕТ,Тухла,1330730
605,10,10,НЕ,"град София, Манастирски ливади",2005,МНОГОСТАЕН,Тухла,1050000
586,7,8,НЕ,"град София, Център",2014,МЕЗОНЕТ,Тухла,1500000
586,7,8,,"град София, Център",2014,МНОГОСТАЕН,Тухла,1500000
585,6,6,НЕ,"град София, Гоце Делчев",2007,МНОГОСТАЕН,Тухла,520000
584,7,8,НЕ,"град София, Център",2014,МНОГОСТАЕН,Тухла,1500000
575,4,6,,"град София, Витоша",2019,МНОГОСТАЕН,Тухла,400000
575,7,7,ДА,"град София, Изток",2008,4-СТАЕН,Тухла,526455
574,6,6,ДА,"град София, Изток",2008,МНОГОСТАЕН,Тухла,430280
560,7,7,ДА,"град София, Изток",2014,МНОГОСТАЕН,Тухла,550000
550,4,4,,"град София, Драгалевци",2010,МНОГОСТАЕН,Тухла,580000
550,7,7,ДА,"град София, Изток",2009,4-СТАЕН,Тухла,449000
550,5,5,,"град София, Драгалевци",2009,4-СТАЕН,Тухла,550000
537,6,7,ДА,"град София, Гоце Делчев",2011,МЕЗОНЕТ,Тухла,700000
536,5,5,Лок.отопл.,"град София, Горубляне",2019,МНОГОСТАЕН,Тухла,455600
535,4,5,Лок.отопл.,"град София, Карпузица",2016,МНОГОСТАЕН,Тухла,384000
530,1,1,НЕ,"град София, Гео Милев",2001,МНОГОСТАЕН,Тухла,430000
530,2,5,ДА,"град София, Гео Милев",2005,МНОГОСТАЕН,Тухла,420000
526,2,3,НЕ,"град София, Витоша",2014,МНОГОСТАЕН,Тухла,199000
500,8,10,ДА,"град София, Младост 2",2009,МЕЗОНЕТ,Тухла,528000
500,5,6,ДА,"град София, Кръстова вада",2009,МЕЗОНЕТ,Тухла,700000
500,8,9,ДА,"град София, Дианабад",2008,МЕЗОНЕТ,Тухла,1020000
500,8,10,ДА,"град София, Младост 2",2015,МНОГОСТАЕН,Тухла,528000
500,8,10,ДА,"град София, Младост 2",2009,МНОГОСТАЕН,Тухла,528000
500,5,5,,"град София, Драгалевци",2009,МНОГОСТАЕН,Тухла,550000
500,8,9,ДА,"град София, Дианабад",2008,МНОГОСТАЕН,Тухла,1020000
487,9,9,ДА,"град София, Лагера",2021,МНОГОСТАЕН,Тухла,542918
483,10,10,ДА,"град София, Младост 4",2015,МНОГОСТАЕН,Тухла,333200
483,10,10,ДА,"град София, Младост 4",2017,МНОГОСТАЕН,Тухла,333200
483,10,10,ДА,"град София, Младост 4",2016,4-СТАЕН,Тухла,333200
475,7,7,ДА,"град София, Изток",2010,4-СТАЕН,Тухла,460000
472,6,6,ДА,"град София, Изток",2009,4-СТАЕН,Тухла,480000
470,6,6,ДА,"град София, Изток",2010,4-СТАЕН,Тухла,526490
458,2,4,,"град София, Лозенец",2010,МЕЗОНЕТ,Тухла,550000
444,9,10,ДА,"град София, Младост 3",2009,МЕЗОНЕТ,Тухла,430000
444,9,10,ДА,"град София, Младост 3",2010,МЕЗОНЕТ,Тухла,430000
444,9,10,ДА,"град София, Младост 3",2009,МЕЗОНЕТ,Тухла,430000
440,11,11,ДА,"град София, Белите брези",2000,МНОГОСТАЕН,Тухла,362999
430,8,8,ДА,"град София, Гео Милев",2008,4-СТАЕН,Тухла,550000
427,8,9,,"град София, Докторски паметник",2022,4-СТАЕН,Тухла,1427202
425,8,9,ДА,"град София, Гео Милев",2009,МНОГОСТАЕН,Тухла,550000
425,8,9,ДА,"град София, Гео Милев",2008,4-СТАЕН,Тухла,550000
420,5,7,ДА,"град София, Изток",2010,МНОГОСТАЕН,Тухла,850000
420,5,6,ДА,"град София, Изток",2010,МНОГОСТАЕН,Тухла,850000
412,6,7,ДА,"град София, ж.гр.Южен парк",2020,МЕЗОНЕТ,Тухла,927000
409,5,6,ДА,"град София, Витоша",2007,МНОГОСТАЕН,Тухла,305000
407,4,4,,"град София, Витоша",2015,МНОГОСТАЕН,Тухла,920000
404,9,10,ДА,"град София, Младост 3",2010,МЕЗОНЕТ,Тухла,430000
400,5,6,НЕ,"град София, Бъкстон",2003,4-СТАЕН,Тухла,295000
385,5,6,,"град София, Слатина",2016,4-СТАЕН,Тухла,329000
383,3,6,,"град София, Слатина",2007,МНОГОСТАЕН,Тухла,344700
383,3,6,ДА,"град София, Слатина",2007,МНОГОСТАЕН,Тухла,344700
380,1,6,ДА,"град София, Лозенец",2010,МНОГОСТАЕН,Тухла,590000
380,4,4,НЕ,"град София, Драгалевци",2019,МНОГОСТАЕН,Тухла,330000
370,6,7,,"град София, Манастирски ливади",2009,МЕЗОНЕТ,Тухла,280000
369,8,9,ДА,"град София, Манастирски ливади",2017,МНОГОСТАЕН,Тухла,239900
367,3,9,НЕ,"град София, Дианабад",2008,МНОГОСТАЕН,Тухла,340000
365,4,4,,"град София, Борово",2005,МНОГОСТАЕН,Тухла,326000
365,4,4,,"град София, Борово",2005,МНОГОСТАЕН,Тухла,326000
365,4,4,,"град София, Манастирски ливади",2007,4-СТАЕН,Тухла,291667
361,8,8,ДА,"град София, Оборище",2014,МНОГОСТАЕН,Тухла,595000
360,5,6,НЕ,"град София, Бояна",2016,МЕЗОНЕТ,Тухла,1350000
360,5,6,ДА,"град София, Център",1936,МНОГОСТАЕН,Тухла,1200000
360,7,8,Лок.отопл.,"град София, Оборище",2013,МНОГОСТАЕН,Тухла,595000
360,7,8,НЕ,"град София, Оборище",2014,МНОГОСТАЕН,Тухла,595000
360,4,4,,"град София, Манастирски ливади",2008,4-СТАЕН,Тухла,890000
355,4,4,ДА,"град София, Дианабад",2020,МЕЗОНЕТ,Тухла,355000
355,5,6,ДА,"град София, Дианабад",2020,МЕЗОНЕТ,Тухла,355000
355,5,6,ДА,"град София, Дианабад",2020,МЕЗОНЕТ,Тухла,354999
355,7,7,ДА,"град София, Дианабад",2020,МЕЗОНЕТ,Тухла,355000
354,5,7,ДА,"град София, Младост 2",2012,МЕЗОНЕТ,Тухла,319999
354,5,7,ДА,"град София, Младост 2",2012,МНОГОСТАЕН,Тухла,319999
352,2,3,Лок.отопл.,"град София, Лозенец",1955,МНОГОСТАЕН,Тухла,299000
352,8,8,НЕ,"град София, Манастирски ливади",2021,4-СТАЕН,Тухла,274400
350,5,5,,"град София, Манастирски ливади",2010,МНОГОСТАЕН,Тухла,420000
350,6,7,ДА,"град София, Лозенец",2003,МНОГОСТАЕН,Тухла,1150000
350,1,5,НЕ,"град София, Лозенец",2002,МНОГОСТАЕН,Тухла,590000
350,2,5,ДА,"град София, Изгрев",2013,МНОГОСТАЕН,Тухла,600000
350,6,7,ДА,"град София, Оборище",2017,4-СТАЕН,Тухла,1050000
349,7,7,НЕ,"град София, Манастирски ливади",2021,4-СТАЕН,Тухла,405484
349,5,5,ДА,"град София, Лозенец",2020,4-СТАЕН,Тухла,890000
347,7,7,Лок.отопл.,"град София, Манастирски ливади",2020,МНОГОСТАЕН,Тухла,405484
