Id,Url,Size,Floor,TotalFloors,CentralHeating,District,Year,Type,BuildingType,Price
1,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159436674429522&slink=603y1w&f1=1,12,1,5,ДА,"град София, Стрелбище",2022,1-СТАЕН,Тухла,17590
2,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h155448398782425&slink=603y1w&f1=1,12,5,5,ДА,"град София, Център",1940,АТЕЛИЕ, ТАВАН,Тухла,15500
3,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h155448420362708&slink=603y1y&f1=1,13,1,5,ДА,"град София, Център",1940,АТЕЛИЕ, ТАВАН,Тухла,22000
4,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h159249212379911&slink=603y21&f1=1,14,1,5,Лок.отопл.,"град София, Медицинска академия",0,АТЕЛИЕ, ТАВАН,Тухла,33990
5,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160242585855895&slink=603y21&f1=1,14,0,0,НЕ,"град София, Медицинска академия",2000,1-СТАЕН,Тухла,33900
6,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h158919806769248&slink=603y24&f1=1,15,4,4,НЕ,"град София, Център",1970,АТЕЛИЕ, ТАВАН,Тухла,30000
7,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h160251005713316&slink=603y26&f1=1,16,1,1,ДА,"град София, Люлин 3",1987,АТЕЛИЕ, ТАВАН,Тухла,21990
8,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h159256698464088&slink=603y26&f1=1,16,1,5,,"град София, Люлин 3",0,АТЕЛИЕ, ТАВАН,Тухла,21999
9,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a136248342000216&slink=603y2d&f1=1,20,2,3,,"град София, Модерно предградие",1972,1-СТАЕН,Тухла,21000
10,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156648057852290&slink=603y2d&f1=1,20,0,0,ДА,"град София, Редута",2000,1-СТАЕН,Тухла,23900
11,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160067093860952&slink=603y2g&f1=1,22,4,4,ДА,"град София, Гео Милев",1960,1-СТАЕН,Тухла,39000
12,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158538572061330&slink=603y2g&f1=1,22,1,6,ДА,"град София, Докторски паметник",1965,1-СТАЕН,Тухла,49499
13,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h158538573969864&slink=603y2g&f1=1,22,1,6,ДА,"град София, Докторски паметник",1965,АТЕЛИЕ, ТАВАН,Тухла,50999
14,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159644120845289&slink=603y2h&f1=1,23,2,14,Лок.отопл.,"град София, Банишора",1980,1-СТАЕН,ЕПК,40000
15,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158953174403315&slink=603y2h&f1=1,23,2,6,,"град София, Красно село",1998,1-СТАЕН,Тухла,46500
16,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159774291783507&slink=603y2j&f1=1,24,5,8,,"град София, Люлин 5",0,1-СТАЕН,Панел,23500
17,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159474710755325&slink=603y2j&f1=1,24,2,8,ДА,"град София, Люлин 7",1990,1-СТАЕН,Панел,32000
18,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158192453736896&slink=603y2j&f1=1,24,1,4,ДА,"град София, Център",1960,1-СТАЕН,Тухла,60000
19,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b158192556726631&slink=603y2j&f1=1,24,1,4,ДА,"град София, Център",1960,2-СТАЕН,Тухла,60000
20,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157649741579316&slink=603y2m&f1=1,25,0,0,НЕ,"град София, Левски",2009,1-СТАЕН,Тухла,27000
21,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160266303395415&slink=603y2m&f1=1,25,1,8,НЕ,"град София, Мусагеница",1980,1-СТАЕН,Панел,35000
22,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159490277515664&slink=603y2m&f1=1,25,1,8,ДА,"град София, Мусагеница",1980,1-СТАЕН,Панел,36000
23,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159437062875795&slink=603y2m&f1=1,25,3,8,,"град София, Павлово",0,1-СТАЕН,Панел,36700
24,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159402557443121&slink=603y2m&f1=1,25,1,5,НЕ,"град София, Редута",2010,1-СТАЕН,Тухла,30000
25,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a134571656634196&slink=603y2m&f1=1,25,1,3,НЕ,"град София, Център",0,1-СТАЕН,Тухла,49000
26,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160216128234434&slink=603y2m&f1=1,25,5,6,ДА,"град София, Център",0,1-СТАЕН,Тухла,57000
27,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h160346853278272&slink=603y2m&f1=1,25,5,5,НЕ,"град София, Медицинска академия",1964,АТЕЛИЕ, ТАВАН,Тухла,20000
28,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h158919543212606&slink=603y2m&f1=1,25,1,5,НЕ,"град София, Редута",2010,АТЕЛИЕ, ТАВАН,Тухла,30000
29,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h160346221197798&slink=603y2m&f1=1,25,5,5,НЕ,"град София, Център",1964,АТЕЛИЕ, ТАВАН,Тухла,20000
30,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160318398995759&slink=603y2q&f1=1,26,7,8,ДА,"град София, Дружба 1",1980,1-СТАЕН,Панел,44000
31,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159533280187884&slink=603y2r&f1=1,27,2,14,,"град София, Люлин 10",1980,1-СТАЕН,ЕПК,41000
32,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157613712866846&slink=603y2r&f1=1,27,1,6,,"град София, Люлин 6",2015,1-СТАЕН,Тухла,26899
33,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a157596497501573&slink=603y2r&f1=1,27,1,6,,"град София, Люлин 6",2015,1-СТАЕН,Тухла,26900
34,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a158997953072356&slink=603y2r&f1=1,27,1,6,,"град София, Люлин 6",2015,1-СТАЕН,Тухла,26999
35,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159533254697119&slink=603y2r&f1=1,27,2,14,,"град София, Люлин 7",1980,1-СТАЕН,ЕПК,41000
36,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160319584403195&slink=603y2r&f1=1,27,6,6,НЕ,"град София, Сухата река",2012,1-СТАЕН,Тухла,34000
37,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160343749769610&slink=603y2r&f1=1,27,2,7,НЕ,"град София, Център",2020,1-СТАЕН,Тухла,52000
38,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a159887073266885&slink=603y2r&f1=1,27,7,7,ДА,"град София, Център",1950,1-СТАЕН,Тухла,75000
39,https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h160284254745647&slink=603y2r&f1=1,27,6,6,НЕ,"град София, Левски",2012,АТЕЛИЕ, ТАВАН,Тухла,34000
